10000000,14,21,33,17,14,11,26,22,23,28,12,8,29,18,25,5
14,10000000,12,19,31,22,17,23,12,24,34,12,21,42,27,36,14
21,12,10000000,15,37,21,28,35,22,16,28,11,25,50,38,35,21
33,19,15,10000000,50,36,35,35,21,31,43,25,38,61,46,51,33
17,31,37,50,10000000,20,21,37,38,33,31,27,13,15,18,19,17
14,22,21,36,20,10000000,25,40,33,12,14,11,9,35,30,15,14
11,17,28,35,21,25,10000000,16,18,34,40,22,18,27,10,34,11
26,23,35,35,37,40,16,10000000,14,46,54,33,34,40,22,51,26
22,12,22,21,38,33,18,14,10000000,36,46,24,30,45,28,46,22
23,24,16,31,33,12,34,46,36,10000000,12,13,21,48,41,23,23
28,34,28,43,31,14,40,54,46,12,10000000,22,23,46,44,16,28
12,12,11,25,27,11,22,33,24,13,22,10000000,14,40,30,26,12
8,21,25,38,13,9,18,34,30,21,23,14,10000000,27,21,17,8
29,42,50,61,15,35,27,40,45,48,46,40,27,10000000,18,32,29
18,27,38,46,18,30,10,22,28,41,44,30,21,18,10000000,35,18
25,36,35,51,19,15,34,51,46,23,16,26,17,32,35,10000000,25
5,14,21,33,17,14,11,26,22,23,28,12,8,29,18,25,10000000
