0,30
0,7
0,26
0,18
0,1
0,31
0,10
1,4
1,16
1,17
1,28
1,31
2,5
2,17
2,3
2,12
2,14
2,1
3,29
3,33
3,1
3,22
2,27
2,6
2,20
3,31
6,22
6,20
6,18
6,23
6,20
7,16
7,4
7,19
7,26
7,13
7,12
7,26
8,14
8,31
8,5
8,19
8,10
9,4
9,17
9,6
10,1
10,26
10,6
10,3
10,24
11,22
11,28
11,25
12,31
12,33
12,16
12,17
12,16
13,18
13,20
14,4
14,23
14,8
14,18
15,1
15,20
15,21
15,9
15,31
15,5
15,21
15,31
17,9
17,1
17,29
17,16
18,12
18,12
18,9
18,24
18,19
19,10
19,20
19,18
19,12
20,24
20,33
20,28
20,15
20,31
21,31
21,28
21,12
22,17
22,15
22,7
22,33
22,29
22,20
22,25
23,30
23,5
23,12
23,1
23,9
23,6
23,4
23,5
23,27
23,26
24,33
24,26
24,11
24,1
24,21
25,23
25,2
25,21
25,10
25,26
26,32
26,31
26,10
26,20
26,12
26,31
27,5
27,21
27,23
27,13
28,30
28,24
28,17
30,8
30,17
30,18
30,9
30,9
31,16
31,9
31,33
31,19
31,22
32,2
32,0
32,24
32,1
32,27
32,6
32,9
32,4
32,10
32,20
33,2
33,20
33,19
33,10
